127.0.0.1 - - [27/Jan/2021:17:20:02 +0900] "GET / HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:20:03 +0900] "GET /LP/index.jsp HTTP/1.1" 200 4138
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:20:03 +0900] "GET /LP/img/hd-cv-tel-ic.png HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:20:03 +0900] "GET /LP/img/logo.png HTTP/1.1" 200 7183
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:20:03 +0900] "GET /LP/css/header HTTP/1.1" 404 922
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:20:03 +0900] "GET /LP/img/hd-cv-mail-ic.png HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:20:03 +0900] "GET /LP/img/hero-bg.jpg HTTP/1.1" 200 42593
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:20:03 +0900] "GET /LP/img/hero-circle-link-5-bg.png HTTP/1.1" 200 67431
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:20:03 +0900] "GET /LP/img/sec1-img1.png HTTP/1.1" 200 39452
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:20:03 +0900] "GET /LP/img/arrow-round-down.png HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:20:45 +0900] "GET /LP/index.jsp HTTP/1.1" 200 4090
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:20:45 +0900] "GET /LP/css/header.css HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:22:06 +0900] "GET /LP/index.jsp HTTP/1.1" 200 4090
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:22:06 +0900] "GET /LP/css/header.css HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:24:13 +0900] "GET /LP/index.jsp HTTP/1.1" 200 4086
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:24:13 +0900] "GET /LP/css/lp.css HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:30:09 +0900] "GET /LP/index.jsp HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:30:09 +0900] "GET /LP/css/lp.css HTTP/1.1" 200 4406
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:33:29 +0900] "GET /LP/index.jsp HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:33:29 +0900] "GET /LP/css/lp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:53:44 +0900] "GET /LP/ HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:53:44 +0900] "GET /LP/css/lp.css HTTP/1.1" 200 4422
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:53:44 +0900] "GET /LP/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:53:44 +0900] "GET /LP/img/hd-cv-tel-ic.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:53:44 +0900] "GET /LP/img/hero-circle-link-5-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:53:44 +0900] "GET /LP/img/hero-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:53:44 +0900] "GET /LP/img/hd-cv-mail-ic.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:53:44 +0900] "GET /LP/img/sec1-img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2021:17:53:44 +0900] "GET /LP/img/arrow-round-down.png HTTP/1.1" 304 -
