127.0.0.1 - - [19/Dec/2020:15:29:53 +0900] "GET / HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [19/Dec/2020:15:29:54 +0900] "GET /workShop_october/listing.jsp HTTP/1.1" 200 2322
0:0:0:0:0:0:0:1 - - [19/Dec/2020:15:29:54 +0900] "GET /workShop_october/css/user.css HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [19/Dec/2020:15:29:54 +0900] "GET /workShop_october/css/common.css HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [19/Dec/2020:15:29:54 +0900] "GET /workShop_october/img/icon/hart.png HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [19/Dec/2020:15:29:54 +0900] "GET /workShop_october/img/icon/man.png HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [19/Dec/2020:15:29:54 +0900] "GET /workShop_october/img/icon/cart.png HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [19/Dec/2020:15:29:54 +0900] "GET /workShop_october/img/icon/search.png HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [19/Dec/2020:15:33:48 +0900] "GET /workShop_october/listing.jsp HTTP/1.1" 200 2322
192.168.10.171 - - [19/Dec/2020:17:03:07 +0900] "GET / HTTP/1.1" 404 901
192.168.10.171 - - [19/Dec/2020:17:03:07 +0900] "GET /HNAP1/ HTTP/1.1" 404 911
